Channel              :,CH1,CH2
Frequency            :,2.513KHz,2.517KHz
Period               :,0.398ms,0.397ms
PK-PK                :,10.40V,4.200V
Average              :,-81.00mV,-57.03mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
150,-4320.000000,-1600.000000
151,-4480.000000,-1520.000000
152,-4560.000000,-1440.000000
153,-4720.000000,-1320.000000
154,-4800.000000,-1240.000000
155,-4880.000000,-1120.000000
156,-4960.000000,-1000.000000
157,-5040.000000,-920.000000
158,-5040.000000,-760.000000
159,-5120.000000,-680.000000
160,-5120.000000,-560.000000
161,-5120.000000,-400.000000
162,-5120.000000,-320.000000
163,-5040.000000,-160.000000
164,-4960.000000,-80.000000
165,-4880.000000,40.000000
166,-4720.000000,200.000000
167,-4560.000000,280.000000
168,-4400.000000,360.000000
169,-4160.000000,480.000000
170,-3840.000000,600.000000
171,-3600.000000,720.000000
172,-3280.000000,840.000000
173,-3040.000000,960.000000
174,-2720.000000,1040.000000
175,-2400.000000,1120.000000
176,-2080.000000,1240.000000
177,-1760.000000,1320.000000
178,-1440.000000,1400.000000
179,-1120.000000,1480.000000
180,-800.000000,1560.000000
181,-480.000000,1640.000000
182,-80.000000,1720.000000
183,160.000000,1760.000000
184,560.000000,1800.000000
185,880.000000,1840.000000
186,1200.000000,1880.000000
187,1520.000000,1920.000000
188,1760.000000,1920.000000
189,2080.000000,1960.000000
190,2400.000000,1960.000000
191,2640.000000,1960.000000
192,2960.000000,1960.000000
193,3200.000000,1920.000000
194,3440.000000,1880.000000
195,3680.000000,1840.000000
196,3840.000000,1800.000000
197,4080.000000,1760.000000
198,4240.000000,1720.000000
199,4400.000000,1640.000000
200,4560.000000,1560.000000
201,4640.000000,1480.000000
202,4720.000000,1400.000000
203,4720.000000,1320.000000
204,4720.000000,1200.000000
205,4640.000000,1080.000000
206,4640.000000,1000.000000
207,4640.000000,880.000000
208,4640.000000,760.000000
209,4560.000000,640.000000
210,4560.000000,520.000000
211,4560.000000,360.000000
212,4480.000000,240.000000
213,4320.000000,120.000000
214,4240.000000,0.000000
215,4080.000000,-160.000000
216,3920.000000,-280.000000
217,3760.000000,-400.000000
218,3600.000000,-520.000000
219,3360.000000,-680.000000
220,3120.000000,-800.000000
221,2880.000000,-920.000000
222,2640.000000,-1040.000000
223,2400.000000,-1160.000000
224,2080.000000,-1240.000000
225,1840.000000,-1360.000000
226,1600.000000,-1440.000000
227,1280.000000,-1560.000000
228,960.000000,-1640.000000
229,640.000000,-1720.000000
230,320.000000,-1800.000000
231,80.000000,-1840.000000
232,-240.000000,-1920.000000
233,-560.000000,-1960.000000
234,-800.000000,-2000.000000
235,-1120.000000,-2040.000000
236,-1440.000000,-2080.000000
237,-1760.000000,-2080.000000
238,-2000.000000,-2120.000000
239,-2240.000000,-2120.000000
240,-2560.000000,-2080.000000
241,-2800.000000,-2080.000000
242,-3040.000000,-2040.000000
243,-3280.000000,-2040.000000
244,-3440.000000,-2000.000000
245,-3680.000000,-1920.000000
246,-3840.000000,-1880.000000
247,-4000.000000,-1800.000000
248,-4160.000000,-1760.000000
249,-4240.000000,-1680.000000
250,-4400.000000,-1600.000000
251,-4480.000000,-1480.000000
252,-4640.000000,-1400.000000
253,-4720.000000,-1320.000000
254,-4800.000000,-1160.000000
255,-4880.000000,-1080.000000
256,-4960.000000,-1000.000000
257,-5040.000000,-880.000000
258,-5120.000000,-760.000000
259,-5120.000000,-600.000000
260,-5120.000000,-520.000000
261,-5120.000000,-400.000000
262,-5040.000000,-280.000000
263,-5040.000000,-160.000000
264,-4960.000000,-40.000000
265,-4800.000000,80.000000
266,-4640.000000,200.000000
267,-4480.000000,320.000000
268,-4240.000000,440.000000
269,-4000.000000,520.000000
270,-3680.000000,640.000000
271,-3440.000000,760.000000
272,-3120.000000,880.000000
273,-2880.000000,960.000000
274,-2560.000000,1080.000000
275,-2240.000000,1200.000000
276,-1920.000000,1280.000000
277,-1600.000000,1360.000000
278,-1280.000000,1440.000000
279,-960.000000,1520.000000
280,-640.000000,1600.000000
281,-320.000000,1680.000000
282,0.000000,1720.000000
283,320.000000,1800.000000
284,720.000000,1840.000000
285,1040.000000,1880.000000
286,1360.000000,1920.000000
287,1680.000000,1920.000000
288,1920.000000,1960.000000
289,2240.000000,1960.000000
290,2480.000000,1960.000000
291,2800.000000,1920.000000
292,3040.000000,1920.000000
293,3280.000000,1920.000000
294,3520.000000,1880.000000
295,3760.000000,1840.000000
296,3920.000000,1800.000000
