Channel              :,CH1,CH2
Frequency            :,2.533KHz,2.530KHz
Period               :,0.395ms,0.395ms
PK-PK                :,10.16V,4.240V
Average              :,-83.89mV,-56.00mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
524,3280.000000,1880.000000
525,3520.000000,1840.000000
526,3760.000000,1800.000000
527,4000.000000,1760.000000
528,4160.000000,1680.000000
529,4320.000000,1640.000000
530,4480.000000,1560.000000
531,4640.000000,1480.000000
532,4640.000000,1400.000000
533,4640.000000,1280.000000
534,4640.000000,1200.000000
535,4640.000000,1080.000000
536,4640.000000,1000.000000
537,4560.000000,880.000000
538,4560.000000,760.000000
539,4560.000000,640.000000
540,4480.000000,480.000000
541,4480.000000,360.000000
542,4400.000000,240.000000
543,4320.000000,120.000000
544,4240.000000,0.000000
545,4080.000000,-160.000000
546,3920.000000,-280.000000
547,3760.000000,-400.000000
548,3600.000000,-520.000000
549,3360.000000,-640.000000
550,3200.000000,-760.000000
551,2960.000000,-920.000000
552,2720.000000,-1000.000000
553,2400.000000,-1120.000000
554,2160.000000,-1240.000000
555,1920.000000,-1320.000000
556,1600.000000,-1440.000000
557,1360.000000,-1520.000000
558,1040.000000,-1600.000000
559,800.000000,-1680.000000
560,480.000000,-1720.000000
561,160.000000,-1800.000000
562,-160.000000,-1880.000000
563,-400.000000,-1920.000000
564,-720.000000,-1960.000000
565,-1040.000000,-2000.000000
566,-1280.000000,-2040.000000
567,-1600.000000,-2040.000000
568,-1840.000000,-2040.000000
569,-2160.000000,-2040.000000
570,-2400.000000,-2040.000000
571,-2640.000000,-2040.000000
572,-2880.000000,-2000.000000
573,-3120.000000,-1960.000000
574,-3280.000000,-1960.000000
575,-3520.000000,-1880.000000
576,-3680.000000,-1840.000000
577,-3840.000000,-1760.000000
578,-4000.000000,-1720.000000
579,-4080.000000,-1640.000000
580,-4240.000000,-1520.000000
581,-4320.000000,-1440.000000
582,-4400.000000,-1360.000000
583,-4480.000000,-1280.000000
584,-4480.000000,-1160.000000
585,-4560.000000,-1040.000000
586,-4560.000000,-920.000000
587,-4560.000000,-800.000000
588,-4560.000000,-680.000000
589,-4560.000000,-600.000000
590,-4480.000000,-440.000000
591,-4400.000000,-320.000000
592,-4240.000000,-200.000000
593,-4160.000000,-80.000000
594,-3920.000000,40.000000
595,-3760.000000,160.000000
596,-3600.000000,320.000000
597,-3360.000000,440.000000
598,-3120.000000,560.000000
599,-2880.000000,680.000000
600,-2640.000000,800.000000
601,-2400.000000,920.000000
602,-2080.000000,1040.000000
603,-1840.000000,1080.000000
604,-1520.000000,1240.000000
605,-1200.000000,1320.000000
606,-880.000000,1440.000000
607,-640.000000,1520.000000
608,-240.000000,1600.000000
609,0.000000,1680.000000
610,400.000000,1720.000000
611,720.000000,1800.000000
612,1040.000000,1880.000000
613,1280.000000,1880.000000
614,1600.000000,1920.000000
615,1920.000000,1960.000000
616,2240.000000,2000.000000
617,2560.000000,2000.000000
618,2800.000000,2000.000000
619,3120.000000,2000.000000
620,3360.000000,2000.000000
621,3600.000000,1960.000000
622,3840.000000,1920.000000
623,4080.000000,1880.000000
624,4240.000000,1840.000000
625,4480.000000,1800.000000
626,4640.000000,1760.000000
627,4720.000000,1680.000000
628,4720.000000,1600.000000
629,4720.000000,1520.000000
630,4720.000000,1400.000000
631,4640.000000,1320.000000
632,4640.000000,1200.000000
633,4640.000000,1080.000000
634,4640.000000,960.000000
635,4560.000000,840.000000
636,4560.000000,720.000000
637,4560.000000,560.000000
638,4480.000000,440.000000
639,4480.000000,280.000000
640,4400.000000,160.000000
641,4320.000000,40.000000
642,4160.000000,-160.000000
643,4000.000000,-240.000000
644,3840.000000,-400.000000
645,3600.000000,-520.000000
646,3440.000000,-680.000000
647,3200.000000,-800.000000
648,2960.000000,-920.000000
649,2720.000000,-1040.000000
650,2480.000000,-1160.000000
651,2240.000000,-1280.000000
652,1920.000000,-1400.000000
653,1600.000000,-1480.000000
654,1360.000000,-1600.000000
655,1040.000000,-1680.000000
656,720.000000,-1760.000000
657,400.000000,-1840.000000
658,80.000000,-1920.000000
659,-240.000000,-1920.000000
660,-560.000000,-2040.000000
661,-800.000000,-2080.000000
662,-1120.000000,-2080.000000
663,-1440.000000,-2120.000000
664,-1760.000000,-2160.000000
665,-2000.000000,-2160.000000
666,-2320.000000,-2160.000000
667,-2560.000000,-2160.000000
668,-2800.000000,-2160.000000
669,-3120.000000,-2080.000000
670,-3280.000000,-2080.000000
671,-3520.000000,-2040.000000
672,-3760.000000,-2000.000000
673,-3920.000000,-1920.000000
674,-4080.000000,-1880.000000
675,-4240.000000,-1800.000000
676,-4400.000000,-1720.000000
677,-4480.000000,-1640.000000
678,-4640.000000,-1560.000000
679,-4800.000000,-1440.000000
680,-4880.000000,-1360.000000
681,-5040.000000,-1240.000000
682,-5120.000000,-1120.000000
683,-5200.000000,-1000.000000
684,-5280.000000,-880.000000
685,-5360.000000,-800.000000
686,-5360.000000,-680.000000
687,-5440.000000,-520.000000
688,-5440.000000,-440.000000
689,-5440.000000,-320.000000
690,-5360.000000,-200.000000
691,-5360.000000,-80.000000
692,-5280.000000,40.000000
693,-5120.000000,160.000000
694,-5040.000000,240.000000
695,-4880.000000,360.000000
696,-4640.000000,520.000000
697,-4400.000000,600.000000
698,-4080.000000,720.000000
699,-3840.000000,840.000000
