Channel              :,CH1,CH2
Frequency            :,2.556KHz,2.556KHz
Period               :,0.391ms,0.391ms
PK-PK                :,9.760V,4.320V
Average              :,-100.3mV,-54.42mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
435,-5120.000000,-760.000000
436,-5120.000000,-640.000000
437,-5040.000000,-480.000000
438,-5040.000000,-360.000000
439,-4960.000000,-240.000000
440,-4880.000000,-120.000000
441,-4800.000000,0.000000
442,-4560.000000,120.000000
443,-4400.000000,240.000000
444,-4160.000000,400.000000
445,-3920.000000,480.000000
446,-3680.000000,640.000000
447,-3360.000000,760.000000
448,-3120.000000,880.000000
449,-2800.000000,1000.000000
450,-2480.000000,1080.000000
451,-2160.000000,1200.000000
452,-1840.000000,1280.000000
453,-1520.000000,1400.000000
454,-1200.000000,1480.000000
455,-880.000000,1560.000000
456,-560.000000,1640.000000
457,-160.000000,1720.000000
458,160.000000,1800.000000
459,480.000000,1840.000000
460,800.000000,1920.000000
461,1120.000000,1960.000000
462,1520.000000,2000.000000
463,1840.000000,2000.000000
464,2160.000000,2040.000000
465,2400.000000,2040.000000
466,2720.000000,2040.000000
467,3040.000000,2040.000000
468,3280.000000,2040.000000
469,3600.000000,2000.000000
470,3840.000000,1960.000000
471,4080.000000,1920.000000
472,4320.000000,1880.000000
473,4480.000000,1840.000000
474,4560.000000,1800.000000
475,4640.000000,1720.000000
476,4640.000000,1600.000000
477,4640.000000,1520.000000
478,4640.000000,1440.000000
479,4560.000000,1320.000000
480,4560.000000,1240.000000
481,4560.000000,1080.000000
482,4560.000000,960.000000
483,4480.000000,800.000000
484,4480.000000,680.000000
485,4480.000000,560.000000
486,4400.000000,400.000000
487,4400.000000,280.000000
488,4320.000000,120.000000
489,4240.000000,0.000000
490,4080.000000,-160.000000
491,3920.000000,-280.000000
492,3760.000000,-440.000000
493,3600.000000,-560.000000
494,3360.000000,-720.000000
495,3200.000000,-840.000000
496,2960.000000,-960.000000
497,2640.000000,-1080.000000
498,2400.000000,-1200.000000
499,2160.000000,-1320.000000
500,1840.000000,-1440.000000
501,1600.000000,-1520.000000
502,1280.000000,-1600.000000
503,960.000000,-1720.000000
504,640.000000,-1800.000000
505,400.000000,-1880.000000
506,80.000000,-1920.000000
507,-240.000000,-2000.000000
508,-560.000000,-2040.000000
509,-880.000000,-2080.000000
510,-1200.000000,-2120.000000
511,-1520.000000,-2160.000000
512,-1760.000000,-2160.000000
513,-2080.000000,-2160.000000
514,-2320.000000,-2160.000000
515,-2640.000000,-2160.000000
516,-2880.000000,-2120.000000
517,-3120.000000,-2120.000000
518,-3360.000000,-2080.000000
519,-3600.000000,-2040.000000
520,-3760.000000,-1960.000000
521,-3920.000000,-1920.000000
522,-4080.000000,-1840.000000
523,-4240.000000,-1840.000000
524,-4400.000000,-1720.000000
525,-4480.000000,-1600.000000
526,-4640.000000,-1520.000000
527,-4720.000000,-1400.000000
528,-4800.000000,-1320.000000
529,-4880.000000,-1200.000000
530,-4960.000000,-1080.000000
531,-5040.000000,-960.000000
532,-5040.000000,-840.000000
533,-5120.000000,-720.000000
534,-5040.000000,-600.000000
535,-5040.000000,-480.000000
