Channel              :,CH1,CH2
Frequency            :,300.3Hz,2.510KHz
Period               :,3.330ms,0.398ms
PK-PK                :,18.24V,3.720V
Average              :,-31.47mV,-64.03mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
364,-7360.000000,-1120.000000
365,-7440.000000,-1120.000000
366,-7600.000000,-1120.000000
367,-7680.000000,-1080.000000
368,-7760.000000,-1040.000000
369,-7840.000000,-1000.000000
370,-7920.000000,-1000.000000
371,-8000.000000,-960.000000
372,-8080.000000,-920.000000
373,-8080.000000,-840.000000
374,-8160.000000,-800.000000
375,-8160.000000,-760.000000
376,-8160.000000,-680.000000
377,-8160.000000,-640.000000
378,-8160.000000,-560.000000
379,-8160.000000,-520.000000
380,-8080.000000,-440.000000
381,-8080.000000,-360.000000
382,-8000.000000,-320.000000
383,-7920.000000,-240.000000
384,-7840.000000,-160.000000
385,-7760.000000,-80.000000
386,-7680.000000,0.000000
387,-7600.000000,40.000000
388,-7440.000000,120.000000
389,-7360.000000,200.000000
390,-7200.000000,280.000000
391,-7120.000000,360.000000
392,-6960.000000,400.000000
393,-6800.000000,520.000000
394,-6640.000000,560.000000
395,-6480.000000,600.000000
396,-6320.000000,680.000000
397,-6160.000000,720.000000
398,-6000.000000,800.000000
399,-5760.000000,840.000000
400,-5600.000000,880.000000
401,-5440.000000,920.000000
402,-5280.000000,960.000000
403,-5120.000000,1000.000000
404,-4880.000000,1040.000000
405,-4720.000000,1080.000000
406,-4560.000000,1080.000000
407,-4400.000000,1080.000000
408,-4240.000000,1120.000000
409,-4080.000000,1120.000000
410,-3920.000000,1120.000000
411,-3760.000000,1120.000000
412,-3680.000000,1120.000000
413,-3520.000000,1080.000000
414,-3360.000000,1080.000000
415,-3280.000000,1040.000000
416,-3200.000000,1040.000000
417,-3120.000000,1000.000000
418,-3040.000000,960.000000
419,-2960.000000,920.000000
420,-2880.000000,880.000000
421,-2800.000000,800.000000
422,-2800.000000,760.000000
423,-2720.000000,720.000000
424,-2720.000000,640.000000
425,-2720.000000,560.000000
426,-2720.000000,520.000000
427,-2720.000000,440.000000
428,-2800.000000,360.000000
429,-2800.000000,320.000000
430,-2880.000000,200.000000
431,-2960.000000,160.000000
432,-3040.000000,80.000000
433,-3120.000000,0.000000
434,-3200.000000,-80.000000
435,-3280.000000,-160.000000
436,-3440.000000,-240.000000
437,-3520.000000,-320.000000
438,-3680.000000,-400.000000
439,-3840.000000,-480.000000
440,-4000.000000,-560.000000
441,-4160.000000,-640.000000
442,-4320.000000,-720.000000
443,-4480.000000,-760.000000
444,-4640.000000,-840.000000
445,-4880.000000,-920.000000
446,-5040.000000,-1000.000000
447,-5200.000000,-1040.000000
448,-5440.000000,-1080.000000
449,-5600.000000,-1120.000000
450,-5840.000000,-1160.000000
451,-6000.000000,-1200.000000
452,-6160.000000,-1280.000000
453,-6400.000000,-1280.000000
454,-6560.000000,-1320.000000
455,-6720.000000,-1320.000000
456,-6960.000000,-1360.000000
457,-7120.000000,-1360.000000
458,-7280.000000,-1360.000000
459,-7440.000000,-1360.000000
460,-7600.000000,-1360.000000
461,-7680.000000,-1320.000000
462,-7840.000000,-1320.000000
463,-8000.000000,-1280.000000
464,-8080.000000,-1280.000000
465,-8160.000000,-1240.000000
466,-8320.000000,-1200.000000
467,-8400.000000,-1160.000000
468,-8480.000000,-1120.000000
469,-8480.000000,-1040.000000
470,-8560.000000,-1000.000000
471,-8560.000000,-920.000000
472,-8640.000000,-880.000000
473,-8640.000000,-800.000000
474,-8640.000000,-720.000000
475,-8640.000000,-640.000000
476,-8560.000000,-560.000000
477,-8560.000000,-480.000000
478,-8480.000000,-400.000000
479,-8400.000000,-320.000000
480,-8320.000000,-240.000000
481,-8240.000000,-160.000000
482,-8160.000000,-80.000000
483,-8000.000000,0.000000
484,-7920.000000,120.000000
485,-7760.000000,200.000000
486,-7600.000000,280.000000
487,-7440.000000,360.000000
488,-7280.000000,440.000000
489,-7120.000000,520.000000
490,-6960.000000,600.000000
491,-6800.000000,680.000000
492,-6640.000000,720.000000
493,-6400.000000,840.000000
494,-6240.000000,880.000000
495,-6000.000000,960.000000
496,-5760.000000,1040.000000
497,-5600.000000,1080.000000
498,-5360.000000,1120.000000
499,-5200.000000,1160.000000
500,-4960.000000,1200.000000
501,-4800.000000,1240.000000
502,-4560.000000,1280.000000
503,-4320.000000,1280.000000
504,-4160.000000,1320.000000
505,-4000.000000,1320.000000
506,-3760.000000,1320.000000
507,-3600.000000,1320.000000
508,-3440.000000,1320.000000
509,-3280.000000,1320.000000
510,-3120.000000,1320.000000
511,-2960.000000,1280.000000
512,-2800.000000,1240.000000
513,-2720.000000,1200.000000
514,-2560.000000,1200.000000
515,-2480.000000,1120.000000
516,-2400.000000,1080.000000
517,-2320.000000,1040.000000
518,-2240.000000,960.000000
519,-2160.000000,920.000000
520,-2080.000000,840.000000
521,-2080.000000,760.000000
522,-2000.000000,680.000000
523,-2000.000000,600.000000
524,-1920.000000,560.000000
525,-1920.000000,440.000000
526,-1920.000000,360.000000
527,-1920.000000,280.000000
528,-2000.000000,200.000000
529,-2080.000000,120.000000
530,-2080.000000,40.000000
531,-2240.000000,-40.000000
532,-2320.000000,-120.000000
533,-2480.000000,-200.000000
534,-2640.000000,-320.000000
535,-2800.000000,-400.000000
536,-2960.000000,-480.000000
537,-3120.000000,-560.000000
538,-3360.000000,-640.000000
539,-3520.000000,-720.000000
540,-3760.000000,-800.000000
541,-4000.000000,-880.000000
542,-4240.000000,-960.000000
543,-4400.000000,-1040.000000
544,-4640.000000,-1120.000000
545,-4880.000000,-1200.000000
546,-5120.000000,-1240.000000
547,-5360.000000,-1280.000000
548,-5600.000000,-1360.000000
549,-5840.000000,-1400.000000
550,-6000.000000,-1440.000000
551,-6240.000000,-1480.000000
552,-6480.000000,-1480.000000
553,-6720.000000,-1520.000000
554,-6880.000000,-1520.000000
555,-7120.000000,-1560.000000
556,-7360.000000,-1560.000000
557,-7520.000000,-1560.000000
558,-7680.000000,-1560.000000
559,-7840.000000,-1560.000000
560,-8000.000000,-1520.000000
561,-8160.000000,-1480.000000
562,-8320.000000,-1480.000000
563,-8480.000000,-1400.000000
564,-8560.000000,-1400.000000
565,-8640.000000,-1320.000000
566,-8800.000000,-1280.000000
567,-8880.000000,-1240.000000
568,-8960.000000,-1160.000000
569,-8960.000000,-1080.000000
570,-8960.000000,-1000.000000
571,-9040.000000,-960.000000
572,-9040.000000,-840.000000
573,-9040.000000,-760.000000
574,-8960.000000,-680.000000
575,-8960.000000,-600.000000
576,-8880.000000,-480.000000
577,-8880.000000,-400.000000
578,-8720.000000,-320.000000
579,-8640.000000,-200.000000
580,-8560.000000,-120.000000
581,-8400.000000,0.000000
582,-8320.000000,80.000000
583,-8160.000000,200.000000
584,-8000.000000,280.000000
585,-7840.000000,400.000000
586,-7600.000000,480.000000
587,-7440.000000,560.000000
588,-7200.000000,680.000000
589,-7040.000000,760.000000
590,-6800.000000,840.000000
591,-6560.000000,920.000000
592,-6320.000000,1000.000000
593,-6080.000000,1080.000000
594,-5920.000000,1160.000000
